ano,id_inscrito,responsavel,nome_responsavel,titulo_livro,isbn,genero_livro,nome_pais_primeira_edicao,tipo_publicacao,autor_nome,autor_genero,autor_idade,autor_nome_pais,autor_nacionalidade,autor_indicador_atividade_economica_principal,autor_educacao_formal,autor_indicador_publicacao_outras_obras,autor_quantidade_obras_publicadas,editora_nome,editora_pais_origem,editora_local_sede,editora_ano_criacao,editora_linha_predominante,editora_canal_distribuicao,editora_tiragem_edicao,editora_financiamento_edicao,editora_grupo_financiamento,editora_site,indicador_outras_edicoes,outras_edicoes_nome_editora,outras_edicoes_ano_publicacao,outras_edicoes_nome_pais,indicador_semifinalista,indicador_finalista,indicador_vencedor
2020,,,,Josina,,Romance,Cabo Verde,,Joao Henrique Cruz,,,,,,,,,Livraria Pedro Cardoso,Cabo Verde,-,,,,,,,,,,,,Não,Não,Não
2015,,,,"Canos, ventos e mares",,Poesia,,,Laerte Tavares,,,,,,,,,Unisul,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Contêiner,,Conto,,,Rubens Venancio,,,,,,,,,America,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Peito aberto,,Poesia,,,Josue Setta,,,,,,,,,Pandorga,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,140 caracteres pra você,,Conto,,,Mario Rubens Almeida De Mello,,,,,,,,,Arte & Ciência,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Anamélia,,Conto,,,Alec Silva,,,,,,,,,EX!,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Voos da manhã,,Poesia,,,Maria De Lourdes Alba,,,,,,,,,Frutos,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Quando me descobri negra,,Romance,,,Bianca Santana,,,,,,,,,SESI-SP,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,[sem título],,Poesia,,,Rodrigo Otavio Maroja Barata,,,,,,,,,Samauma,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Transbordar,,Poesia,,,Bruna Zerlini,,,,,,,,,LiteraCidade,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Vírgula,9789899964013,Poesia,,,Vitor Hugo Moreira,,,Portugal,,,,,,Euedito,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,O Recomeço,9788578286095,Romance,,,Paulo A Souza,,,Brasil,,,,,,Protexto,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,A noite que nunca acaba,9788555640216,Conto,,,Carlos Henrique Dias Fialho,,,Brasil,,,,,,Jovens Escribas,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,O extraordinário: Se procurar aparece Se ajudar acontece,9788574924106,Romance,,,Gyorgy Miklos Bohm,,,Brasil,,,,,,Nova Alexandria,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Viagens de um sade moderado,9788544803028,Conto,,,Andre Rocha De Miranda,,,Brasil,,,,,,Costelas Felinas,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,HAUSSÁ 1815 COMARCA DAS ALAGOAS,9788575720479,Romance,,,Julio Cesar Farias De Andrade,,,Brasil,,,,,,Fundação Palmares,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Geometria do abismo,,Poesia,Brasil,,Solange Firmino De Souza,,,,Brasileira,,,,,Gramma,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Na baixa dos sapateiros,,Crônica,Brasil,,Leopoldo Bokor,,,,Brasileira,,,,,Expoart,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,O livro da imitação e do esquecimento,,Romance,Brasil,,Luis S. Kraus,,,,Brasileira,,,,,Benvirá,,-,,,,,,,,,,,,Sim,Não,Não
2018,,,,60 verdades abertas,,Poesia,Brasil,,Maria Luisa Zebrowski,,,,Brasileira,,,,,Evangraf,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,O abc do seu nico,,Romance,Brasil,,Ronald Acioli Da Silveira,,,,Brasileira,,,,,Unipalmares,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,[o dos] bonecos e [a das] pretinhas,,Romance,Brasil,,Guina Araujo Ramos,,,,Brasileira,,,,,Guina & dita,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Lave a boca pra falar de poesia,,Poesia,Brasil,,Maria Helena Rodrigues Fuao,,,,Brasileira,,,,,Livraria Mundial,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,Dodecanese ,,Conto,Brasil,,Martins Cancela,,,,Brasileira,,,,,Kazua,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,As louras da minha vida,,Conto,Brasil,,Fernando Neves,,,,Brasileira,,,,,Bandeirola,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,A ilha fantasma,,Romance,Brasil,,Gileno Santos,,,,Brasileira,,,,,Biblioteca 24 Horas,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Sal,,Poesia,Portugal,,Nuno Sousa,,,,,,,,,Oz,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,"Não encontrei o passado, tenho que voltar",,Romance,Brasil,,Jose Carlos Mello,,,,,,,,,Octavo,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Entre risos e sustos,,Crônica,Brasil,,Ilma Pereira,,,,,,,,,Machado,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,O livro da consolação,,Poesia,Portugal,,Mario Rui De Oliveira,,,,,,,,,Assírio & Alvim,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,No sótão,,Romance,Brasil,,Luiz Carlos Osorio,,,,,,,,,Mais que palavras,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,O universo num grão de areia,,Crônica,Moçambique / Portugal,,Mia Couto,,,,,,,,,Fundação Fernando Leite Couto / Caminho,,-,,,,,,,,,,,,Sim,Não,Não
2015,,,,Viagem à Calábria,,Romance,,,Sérgio Capparelli,,,,,,,,,Record,Brasil,-,1942,,,,,,,,,,,Sim,Não,Não
2015,,,,"Adeus, Fernando Pessoa",,Romance,,,Paulo Martins,,,,,,,,,7Letras,Brasil,-,1993,,,,,,,,,,,Não,Não,Não
2015,,,,Incansável procura,,Dramaturgia,,,Omar Botelho Do Amaral,,,,,,,,,Clube de Autores,Brasil,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Poesia carioca,,Poesia,,,Claudio Leite,,,,,,,,,Poesias Escolhidas,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2015,,,,Sete anos,,Crônica,,,Fernanda Torres,,,,,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Não,Não,Não
2015,,,,Amor em dois tempos,,Romance,,,Livia Garciaroza,,,,,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Não,Não,Não
2016,,,,Desperdiçando rima,,Poesia,,,Karina Buhr,,,,,,,,,Rocco,Brasil,-,1975,,,,,,,,,,,Não,Não,Não
2016,,,,Na escuridão não existe cor-de-rosa,,Conto,,,Cinthia Kriemler,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Sim,Não,Não
2016,,,,Dois,,Poesia,,,Paloma Vidal,,,,,,,,,7Letras,Brasil,-,1993,,,,,,,,,,,Sim,Não,Não
2016,,,,Os 31 dias,,Romance,,,Lino De Albergaria,,,,,,,,,Scriptum,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2016,,,,Um bailarino holandês,,Romance,,,Lino De Albergaria,,,,,,,,,Scriptum,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2016,,,,Os poetas estão vivos,,Poesia,,,Cacau Novaes,,,,,,,,,Mondrongo,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2016,,,,Clausura,,Poesia,,,Martha Carvalho Rocha,,,,,,,,,Ibis Libris,Brasil,-,2000,,,,,,,,,,,Não,Não,Não
2016,,,,Os imortais,,Romance,,,Thais Oliveira,,,,,,,,,Jaguatirica,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2016,,,,O plural do diverso,,Crônica,,,Jose Ricardo Menacho,,,,,,,,,Novo Século,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2016,,,,Rio da lua,,Romance,,,Renato Zupo,,,,,,,,,Novo Século,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2016,,,,Cronicália,,Crônica,,,Vitor Hugo Fernandes Martins,,,,,,,,,Via Litterarum,Brasil,-,2004,,,,,,,,,,,Não,Não,Não
2016,,,,Jardins de Saturno,,Poesia,,,Nelson Luiz Guimaraes De Paula,,,,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2016,,,,Muito antes da meia-noite,,Poesia,,,Cristiano Ramos,,,,,,,,,Confraria do Vento,Brasil,-,2005,,,,,,,,,,,Não,Não,Não
2017,,,,Teoria do amor,9788568925287,Romance,,,Halice Frs,,,Brasil,,,,,,Ler,Brasil,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Parvo Orifício,9788559860016,Poesia,,,Catarina Lins,,,Brasil,,,,,,Garupa,Brasil,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Pavão de seis cores,9788568462317,Romance,,,Lucas Haas Cordeiro,,,Brasil,,,,,,Kotter,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2017,,,,Não Chore,9788582973363,Romance,,,Luis Bras,,,Brasil,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2017,,,,A casa de ler no escuro,9788569433163,Poesia,,,Maria Azenha,,,Brasil,,,,,,Urutau,Brasil,-,2015,,,,,,,,,,,Não,Não,Não
2017,,,,Não existem rotas conciliatórias de fuga ,9788569433200,Poesia,,,Thiago Cervan,,,Brasil,,,,,,Urutau,Brasil,-,2015,,,,,,,,,,,Não,Não,Não
2017,,,,Meu semelhante,9788542105100,Poesia,,,Heitor Ferraz Mello,,,Brasil,,,,,,7Letras,Brasil,-,1993,,,,,,,,,,,Não,Não,Não
2017,,,,Caranguejo Overdrive,9788555910067,Dramaturgia,,,Pedro Kosovski,,,Brasil,,,,,,Cobogó,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2017,,,,Aurorescer,9788558330794,Poesia,,,Airton Souza,,,Brasil,,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2017,,,,Ouvido no Café da Livraria,9788569677130,Poesia,,,Cláudio Neves,,,Brasil,,,,,,Filocalia,Brasil,-,,,,,,,,,,,,Sim,Não,Não
2017,,,,Velhos Poemas Escritos Somente Agora - capa,9788555470325,Poesia,,,Magno Mello,,,Brasil,,,,,,Oito e Meio,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2017,,,,Copas,9788542807998,Romance,,,Dan Castro,,,Brasil,,,,,,Novo Século,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2017,,,,Não foi bem assim,9788542809640,Romance,,,Francisco Almeida Prado,,,Brasil,,,,,,Novo Século,Brasil,-,2001,,,,,,,,,,,Não,Não,Não
2017,,,,Nu Frontal com Tarja ,9788566887235,Poesia,,,Lucia Santos,,,Brasil,,,,,,Reformatório,Brasil,-,2013,,,,,,,,,,,Não,Não,Não
2017,,,,Resquícios de Nós Mesmos,187,Romance,,,Saulo Moreira,,,Brasil,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2017,,,,Contos de terror fabricados em casa,B01LXTR45M,Conto,,,Jardel Pereira Nogueira,,,Brasil,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2017,,,,Terra Ausente,9789898476524,Conto,,,Luis Amorim,,,Portugal,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2017,,,,"Alma, versos & coração",9788566562095,Poesia,,,Silas Fonseca,,,Brasil,,,,,,Ler para Escrever,Brasil,-,,,,,,,,,,,,Não,Não,Não
2017,,,,120 Semanas sem Estrela,9788569464426,Poesia,,,Rodrigo Ricardo,,,Brasil,,,,,,Poesias Escolhidas,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2017,,,,O amor dos homens avulsos,9788535927719,Romance,,,Victor Heringer,,,Brasil,,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Sim,Sim,Não
2018,,,,Não pise no meu vazio,,Crônica,Brasil,,Ana Suy Sesarino Kuss,,,,Brasileira,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2018,,,,Contrações,,Poesia,Brasil,,Fernanda Seavon,,,,Brasileira,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2018,,,,Traço-oco,,Poesia,Brasil,,Paulo Nunes,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Sim,Não,Não
2018,,,,A exposição dos sóis,,Poesia,Brasil,,Julia Lemos,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2018,,,,Domingo é dia de morrer,,Conto,Brasil,,Jose Valdemar De Oliveira,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2018,,,,Idas e vindas,,Poesia,Brasil,,Paulo Sady Ayres De Aquino,,,,Brasileira,,,,,All Print,Brasil,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Contos absurdos e outros nem tantp,,Conto,Brasil,,Carlos Eugenio Junqueira Ayres,,,,Brasileira,,,,,Mondrongo,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2018,,,,Entre dias e noites,,Poesia,Brasil,,Carlos Amorim,,,,Brasileira,,,,,Multifoco,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2018,,,,Intervalos: teatro em dois tempos,,Dramaturgia,Brasil,,Lais Raquel De Medeiros,,,,Brasileira,,,,,Multifoco,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2018,,,,Quereres,,Poesia,Brasil,,Davi Bezerra Souto,,,,Brasileira,,,,,Multifoco,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2018,,,,Ser e estar,,Poesia,Brasil,,Gustavo Bemvenuto,,,,Brasileira,,,,,Multifoco,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2018,,,,Muito pelo contrário,,Poesia,Brasil,,Walacy Neto,,,,Brasileira,,,,,Nega Lilu,Brasil,-,2013,,,,,,,,,,,Não,Não,Não
2018,,,,Auschwitz - prisioneiro (sobrevivente) 186650,,Romance,Brasil,,Maura Palumbo,,,,Brasileira,,,,,Duna Dueto,Brasil,-,,,,,,,,,,,,Não,Não,Não
2018,,,,O jogo da memória,,Romance,Brasil,,Maria Rosa Fontebasso,,,,Brasileira,,,,,Metamorfose,Brasil,-,2015,,,,,,,,,,,Não,Não,Não
2018,,,,Um olhar além do espelho,,Romance,Brasil,,Girotto Brito,,,,Brasileira,,,,,Pará.grafo,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2018,,,,Alma cativa,,Romance,Brasil,,Margarete De Carvalho Santos,,,,Brasileira,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2018,,,,Olhos do moco,,Romance,Angola,,Antonia Manuel Raul,,,,Angolana,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2018,,,,Terrível encontro comigo mesmo,,Crônica,Brasil,,Henrique Luiz Fendrich,,,,Brasileira,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2018,,,,O jardim das hespérides,,Conto,Brasil,,Daniel Gruber,,,,Brasileira,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2019,,,,Gláucia proveito do meio,,Romance,Brasil,,Antonio Simplicio De Sousa,,,,Brasileira,,,,,Viseu,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2019,,,,Caminho para Luamar,,Poesia,Brasil,,Patricia Silveira,,,,Brasileira,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2019,,,,Fabrício,,Poesia,Brasil,,Dario Silva,,,,Brasileira,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2019,,,,"Extremamente barulhentos certos assuntos, por exemplo",,Poesia,Brasil,,Pedro Bomba,,,,Brasileira,,,,,Urutau,Brasil,-,2015,,,,,,,,,,,Não,Não,Não
2019,,,,O gato na árvore,,Crônica,Brasil,,Marco Antonio Martire,,,,Brasileira,,,,,Moinhos,Brasil,-,2016,,,,,,,,,,,Não,Não,Não
2019,,,,A visão poética do abismo,,Poesia,Brasil,,Sidnei Olivio,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2019,,,,A cama em que morreu Tiradentes,,Romance,Brasil,,Alexandre Azevedo,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2019,,,,Versos no camarim,,Poesia,Brasil,,Regina Celi,,,,Brasileira,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2019,,,,Contos de encontros,,Crônica,Brasil,,Lais Mendes,,,,Brasileira,,,,,Multifoco,Brasil,-,2008,,,,,,,,,,,Não,Não,Não
2019,,,,Os dois fazendeiros,,Romance,Brasil,,Matheus Zucato Robert,,,,Brasileira,,,,,Autografia,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2019,,,,Seara de quase-tudo,,Poesia,Brasil,,Silvio Eduardo Paro,,,,Brasileira,,,,,Autografia,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2019,,,,O dia da rua,,Poesia,Brasil,,Marli Silveira,,,,Brasileira,,,,,BesouroBox,Brasil,-,2005,,,,,,,,,,,Não,Não,Não
2019,,,,Sob o trópico de capricórnio,,Romance,Brasil,,Pedro Carcereri,,,,Brasileira,,,,,Letramento,Brasil,-,2013,,,,,,,,,,,Não,Não,Não
2019,,,,"Surreal sensorial, manifesta, protesta",,Poesia,Brasil,,Juan Toro,,,,Brasileira,,,,,Madrepérola,Brasil,-,,,,,,,,,,,,Não,Não,Não
2019,,,,Cinco poemas para o céu,,Poesia,Brasil,,Mauro Augusto De Amorim,,,,Brasileira,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2019,,,,Artes em partes,,Poesia,Brasil,,Filipe Moreau,,,,Brasileira,,,,,Laranja Original,Brasil,-,2016,,,,,,,,,,,Não,Não,Não
2019,,,,Banhei minha mãe,,Poesia,Brasil,,Beto Furquim,,,,Brasileira,,,,,Laranja Original,Brasil,-,2016,,,,,,,,,,,Não,Não,Não
2019,,,,É que dei o perdido na razão,,Poesia,Brasil,,Bell Pua,,,,Brasileira,,,,,Castanha Mecânica,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2019,,,,Penas de pato,,Conto,Portugal,,Miguel Araujo,,,,Portuguesa,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Não,Não,Não
2020,,,,Luzes da alma,,Poesia,Brasil,,Alberto Chaves Schlottgen,,,,,,,,,AGE,Brasil,-,1976,,,,,,,,,,,Não,Não,Não
2020,,,,Elas e o rio,,Romance,Brasil,,Juliana Rabelo,,,,,,,,,Viseu,Brasil,-,2011,,,,,,,,,,,Não,Não,Não
2020,,,,Delação,,Romance,Brasil,,Marcio Abc,,,,,,,,,Kazuá,Brasil,-,2003,,,,,,,,,,,Não,Não,Não
2020,,,,Tetos,,Poesia,Brasil,,Jose Luis Queiroz,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2020,,,,Não sei dizer nem ao menos o nome,,Poesia,Brasil,,Raul Almeida,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2020,,,,Entre o beiral e o abismo,,Poesia,Brasil,,Matheus Bibiano Branco,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2020,,,,Um tempo em mim,,Crônica,Brasil,,Mariana Balieiro Mussoi,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2020,,,,Pecados do mundo,,Conto,Brasil,,Sergio Telles,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Não,Não,Não
2020,,,,Pedro Cardoso eu mesmo,,Crônica,Brasil,,Pedro Cardoso,,,,,,,,,Record,Brasil,-,1942,,,,,,,,,,,Não,Não,Não
2020,,,,Quintessência,,Poesia,Brasil,,Shauara David,,,,,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2020,,,,A baleia noturna do meu sertão,,Dramaturgia,Brasil,,Emerson Sarmento,,,,,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2020,,,,Floresta de signos,,Poesia,Brasil,,Antonio Carlos Alvim,,,,,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2020,,,,Horses,,Romance,Brasil,,Agnaldo De Assis Nascimento,,,,,,,,,Penalux,Brasil,-,2012,,,,,,,,,,,Não,Não,Não
2020,,,,O último almirante do Czar,,Romance,Brasil,,Marcio Roberto Lopes Da Silva,,,,,,,,,Albatroz,Brasil,-,2015,,,,,,,,,,,Não,Não,Não
2020,,,,PorVentura,,Crônica,Brasil,,Mauro Ventura,,,,,,,,,Editora 106,Brasil,-,2016,,,,,,,,,,,Não,Não,Não
2020,,,,Um banquete de sentimentos,,Conto,Brasil,,Taua Lima Verdan Rangel,,,,,,,,,Planeta Azul,Brasil,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Família é tudo,,Crônica,Brasil,,Fabricio Carpinejar,,,,,,,,,Bertrand Brasil,Brasil,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Reflexo reverso,,Poesia,Brasil,,Murilo Casacio,,,,,,,,,Folhas de Relva,Brasil,-,2018,,,,,,,,,,,Não,Não,Não
2020,,,,Felizes são as vacas e outros contos,,Conto,Canadá,,Simone Neves,,,,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2020,,,,Sob as estrelas nas florestas do alto Rio Negro,,Conto,Brasil,,Conde Aquino,,,,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2020,,,,Anicejara e a pedra do trovão,,Conto,Brasil,,Rodrigo Santos,,,,,,,,,Autopublicação,Brasil,-,2020,,,,,,,,,,,Não,Não,Não
2020,,,,Flashbacks do Éden,,Poesia,Brasil,,Sergio Assuncao,,,,,,,,,Confraria do Vento,Brasil,-,2005,,,,,,,,,,,Não,Não,Não
2020,,,,Os Bálcãs eram lixões,,Poesia,Brasil,,Gabriel Morais Medeiros,,,,,,,,,Ofícios Terrestres,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2017,,,,Desamparo,9788544104026,Romance,,,Inês Pedrosa,,,Brasil,,,,,,Grupo Leya,Portugal,-,2008,,,,,,,,,,,Não,Não,Não
2017,,,,Praça do Império,9789897021725,Romance,,,Maria Joao Carrilho,,,Portugal,,,,,,Guerra e Paz,Portugal,-,2006,,,,,,,,,,,Não,Não,Não
2018,,,,Pequenos delírios domésticos,,Conto,Portugal,,Ana Margarida de Carvalho,,,,Portuguesa,,,,,Relógio D'Água,Portugal,-,1982,,,,,,,,,,,Não,Não,Não
2018,,,,Três actos para um blue,,Dramaturgia,Portugal,,Marcela Costa,,,,Portuguesa,,,,,Companhia das Ilhas,Portugal,-,2012,,,,,,,,,,,Não,Não,Não
2019,,,,Um Muro no Meio do Caminho,,Romance,Portugal,,Julieta Monginho,,,,Portuguesa,,,,,Porto,Portugal,-,1944,,,,,,,,,,,Não,Não,Não
2020,,,,Cinco voltas na Bahia e um beijo para Caetano Veloso,,Crônica,Portugal,,Alexandra Lucas Coelho,,,,,,,,,Caminho,Portugal,-,1976,,,,,,,,,,,Não,Não,Não
2020,,,,"Luzes distantes, vozes perdidas",,Poesia,Portugal,,Joao De Mancelos,,,,,,,,,Colibri,Portugal,-,1991,,,,,,,,,,,Não,Não,Não
2020,,,,Plenitude galvanizante,,Romance,Portugal,,Joao Gorgulho,,,,,,,,,Gato-Bravo,Portugal,-,2017,,,,,,,,,,,Não,Não,Não
2020,,,,O coro da desordem ,,Poesia,Portugal,,Nuno Júdice,,,,,,,,,Dom Quixote,Portugal,-,1965,,,,,,,,,,,Não,Não,Não
2020,,,,Heartquake,,Poesia,Portugal,,Pedro Craveiro,,,,,,,,,Exclamação,Portugal,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Fotografar contra o vento,,Romance,Portugal,,António Cabrita,,,,,,,,,Exclamação,Portugal,-,,,,,,,,,,,,Não,Não,Não
2020,,,,O gesto que fazemos para proteger a cabeça,,Romance,Portugal,,Ana Margarida de Carvalho,,,,,,,,,Relógio D'Água,Portugal,-,1982,,,,,,,,,,,Sim,Não,Não
2015,,,,Na poltrona do editor,,Crônica,,,Noga Sklar,,,,,,,,,KBR,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Poema limpo,,Poesia,,,Ryan Mainardi,,,,,,,,,Schoba,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Eu só queria ser uma mulher normal,,Romance,,,Debora Rubin,,,,,,,,,Benvirá,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Face dos disfarces,,Poesia,,,Airton Souza,,,,,,,,,LiteraCidade,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Pura poesia,,Poesia,,,Wilson Costa,,,,,,,,,PerSe,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,As dez vidas do senhor Cardano,,Romance,,,Jose Carlos Mello,,,,,,,,,Octavo,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Gigantes,,Romance,,,Pedro Henrique Neschling,,,,,,,,,Paralela,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Aqui e além do horizonte,,Poesia,,,Raimundo Gadelha,,,,,,,,,Escrituras,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Como bolhas ao ar,,Conto,,,Abilio Pacheco,,,,,,,,,LiteraCidade,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,A matéria da capa,,Romance,,,Tailor Diniz,,,,,,,,,O sonho da traça,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Composição,9788570000000,Poesia,,,Luciane Maria Couto Cunha,,,Brasil,,,,,,3i,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,"Z, Vira & Verso ",9788550000000,Poesia,,,Almir Zarfeg,,,Brasil,,,,,,PerSe,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Sob a Roseira,9788556950130,Romance,,,Rafaela Soares,,,Brasil,,,,,,Young,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Temporada de Sangue,9788555080548,Romance,,,Edson Soares Do Nascimento,,,Brasil,,,,,,Offset,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Artifício,9788593288005,Poesia,,,Marcos Mariani Casadore,,,Brasil,,,,,,Severina,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Ficções paralelas e Visões para lê-las,9788569643104,Conto,,,Davi Araujo,,,Brasil,,,,,,Substânsia,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Simbiose o leão e a serpente,B01LZQHJDF,Romance,,,Irlene Ramos Bandeira,,,Brasil,,,,,,Irlene Ramos,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Eu voltando para casa,B01MQCB55X,Conto,,,Irlene Ramos Bandeira,,,Brasil,,,,,,Irlene Ramos,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Poemas sem roteiro: o trovador do século 21,9788569101017,Poesia,,,Therezinha Russo,,,Brasil,,,,,,Verbo Virtual,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,E ou poesias,9788590000000,Poesia,,,Benedito Bergamo,,,Brasil,,,,,,Benedito Libério Bergamo,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Sólido,,Poesia,Brasil,,Ernesto Wenth Filho,,,,Brasileira,,,,,MJ,,-,,,,,,,,,,,,Não,Não,Não
